,1,2,3,4,5
omega,3.0,0.4,0.2,0.13,0.03
N,772.0,3917.0,7828.0,11785.0,15719.0
mse,0.0019270829317173238,0.0003378351805001542,6.020897049727518e-05,0.00034142033696674557,0.49845031437075515
cluster time,18.121643166989088,18.439539750106633,14.921037999913096,20.263696666806936,11.021847708150744
iterations,6.0,4.0,2.0,5.0,52.0
